OBJECTID,ROAD_NAME,STATUS,PROJ_NAME,TYPE,TOWN,Shape__Length
798,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,315.641925260254
799,NA,COMPLETED,EAST BAY BIKE PATH,PATH,EAST PROVIDENCE,21141.8261325873
800,NA,COMPLETED,EAST BAY BIKE PATH,PATH,EAST PROVIDENCE,8373.79967314142
801,NA,DROPPED,NORTHWEST BIKE TRAIL,DROPPED BIKE PROJECT,BURRILLVILLE,7939.7549678069
802,NA,COMPLETED,BURRILLVILLE RAIL TRAIL,DROPPED BIKE PROJECT,BURRILLVILLE,7252.24759967617
803, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,42.5022671185713
804, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,42.7142891530312
805, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,5163.29858693413
806,ASYLUM ROAD,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,3448.46016433109
807, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,6021.11024404786
808, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,50.787526019654
809, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,22.148082858359
810, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,25.8089865608827
811, ,UNDER CONSTRUCTION,COLT STATE PARK BIKE PATH CONNECTOR,PROPOSED ROUTE,BRISTOL,321.772061774335
