OBJECTID,F_Name,F_Type,Street,Town,OwnerTyp,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,RestRoom,W_Path,B_Path,SplashPark,PickBall,Shelter,CommGard,Stage,Dog,TabGame,Camping,Fitness,GrantFund,POINT_X,POINT_Y,DEMID,StateBond,LWCF,GlobalID,RIEJ,Justice40,x,y
286,Anchorage Playground,LP,Main,Middletown,MUN,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.30011856,41.52035688,4400172,N,Y,{AD5C8357-0DDC-4F78-8697-48047C3F4D5B},Y,Y,382820.778133251,159299.920761839
287,Hope High School,SC,Brown,Providence,SCH,1,2,1,1,2,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.40379536,41.83429541,885003,Y,N,{5BACC753-A90D-4227-94E1-480C6F65F9CC},Y,N,354301.20525125,273647.404664837
288,Dexter Training Ground,LP,Parade,Providence,MUN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.4312146,41.81349461,4400216,N,Y,{D1B6A339-52D7-4776-806D-48500F9567D8},Y,Y,346834.929501418,266060.430665582
289,Agawam Playground & Softball Complex,AF,Pawtucket,East Providence,MUN,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.35159868,41.82711013,887040,Y,N,{752402F2-10E2-4B45-B46C-48B5DFC5BBBB},Y,Y,368530.472396333,271049.340635255
290,Kent Heights Athletic And Recreation Area,LP,Clyde,East Providence,MUN,1,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.35511371,41.80514827,2022-70-12,Y,N,{ECB66C63-C157-432E-B2A5-48BB9052B187},Y,N,367585.935243417,263044.826460585
291,Oliphant School,SC,Oliphant,Middletown,SCH,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.29088777,41.5400607,20017007,Y,N,{9D94A012-5677-4580-9D07-48E9A068D80E},N,N,385331.254083417,166485.597991504
292,Comstock Gardens,LP,Wildflower,Cranston,MUN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.51710607,41.77755465,Not Applicable,N,N,{D728D836-0440-4332-9428-48FB2FC4E7AA},N,N,323417.439263001,252956.952279419
293,Burlingame Reservoir,FB,Elbow Rock,Glocester,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.74253264,41.91448137,6009,?,N,{D0D5E503-7CE8-4DC9-8927-4952716D4898},N,N,262070.417928416,302946.035700001
294,Barrington High School,SC,Lincoln,Barrington,SCH,0,3,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.32001409,41.74769443,Not Applicable,N,N,{14B52A23-3A91-41C0-97D6-498A27FE0FDD},N,N,377199.507551666,242126.923086502
295,Iron Rocks Conservation Area,CA,Park,Woonsocket,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.47309381,41.99563505,4400283,N,Y,{F58D922D-2AAA-4817-B027-49D5674760E5},N,N,335397.415302999,332426.883234255
296,Ridge St. Playground,LP,Penn,Providence,MUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43517942,41.82081028,Not Applicable,N,N,{D32E4BBC-6445-41D3-8162-4A7AEB2616CF},Y,Y,345752.06880625,268725.410571836
297,River Farm Fitness Stations,LP,Franklin,East Greenwich,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.46955856,41.63512808,Not Applicable,N,N,{A723D642-C088-4A5A-BD3F-4A7F182ECEB9},N,N,336404.96151625,201058.860209666
298,Regent Ave. Playground,LP,Regent,Providence,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43712308,41.82993051,Not Applicable,N,N,{8F2B885C-5036-4AB3-9B13-4A9473CB3466},Y,Y,345219.836603001,272048.427547835
