OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10325,Non-urban Developed,0.94208368,41037.1671829224,870.739818979772
10326,Non-urban Developed,2.03978346,88852.9721412659,1301.31037550264
10327,Non-urban Developed,1.20297952,52401.7908668518,1015.32328840984
10328,Non-urban Developed,4.06992686,177286.023048401,2122.0906093971
10329,Non-urban Developed,1.14879258,50041.407245636,875.743475868948
10330,Non-urban Developed,14.65494919,638369.618610382,3963.32934703879
10331,Non-urban Developed,21.38510712,931535.312759399,6045.21756346535
10332,Non-urban Developed,1.54982698,67510.4670639038,1299.72635640145
10333,Non-urban Developed,2.00935509,87527.5122299194,1154.27589647521
10334,Non-urban Developed,1.34422517,58554.4515380859,1207.41583260193
10335,Non-urban Developed,3.04513796,132646.21647644,1446.65040964201
10336,Non-urban Developed,17.88182342,778932.267181396,4823.27736657875
10337,Non-urban Developed,1.74920025,76195.1670761108,1567.44488751145
10338,Non-urban Developed,9.00869876,392418.937454224,5419.18922222338
10339,Non-urban Developed,5.78145994,251840.407798767,2540.44708560376
10340,Non-urban Developed,1.32852322,57870.4747085571,928.025781306304
10341,Non-urban Developed,3.42254359,149086.006504059,1545.86929055365
10342,Non-urban Developed,8.21149147,357692.58631897,3232.37908460128
10343,Non-urban Developed,6.07724117,264724.638721466,2961.91791743003
10344,Non-urban Developed,2.27030443,98894.4661026001,1733.82017235345
10345,Non-urban Developed,1.75454569,76428.0140838623,1222.77168529745
10346,Non-urban Developed,1.01950732,44409.7411575317,862.156597528107
10347,Non-urban Developed,6.38705576,278220.163116455,3194.84560576879
10348,Non-urban Developed,1.07771953,46945.4650764465,902.367006944672
10349,Non-urban Developed,2.2519114,98093.2656097412,1325.59495164577
10350,Non-urban Developed,1.16932495,50935.7975654602,1058.58504078548
10351,Non-urban Developed,10.02976114,436896.417030334,4293.3722885284
10352,Non-urban Developed,1.10032775,47930.2794036865,927.296870415583
10353,Non-urban Developed,3.86803675,168491.689552307,1638.50731933965
10354,Non-urban Developed,3.20314318,139528.923938751,1561.57647458814
10355,Non-urban Developed,1.51643082,66055.7299308777,990.166841271617
10356,Non-urban Developed,1.14094348,49699.5004920959,888.297257694467
10357,Non-urban Developed,2.13110409,92830.8989715576,1298.08892976299
10358,Non-urban Developed,3.57119024,155561.054626465,2579.97338933979
10359,Non-urban Developed,13.76947504,599798.36277771,4454.915324951
10360,Non-urban Developed,2.9229917,127325.524971008,1584.35386131143
10361,Non-urban Developed,4.7253904,205838.016090393,2332.6835995058
10362,Non-urban Developed,3.4741571,151334.291046143,2051.94436384493
10363,Non-urban Developed,1.34624825,58642.5770568848,942.016608662875
10364,Non-urban Developed,20.66543765,900186.508682251,7372.15157298296
10365,Non-urban Developed,215.21293767,9374676.02989197,43120.1650988685
10366,Non-urban Developed,7.70880082,335795.38041687,4303.98651845504
10367,Non-urban Developed,4.87521691,212364.459442139,2079.68101957342
10368,Non-urban Developed,8.21059538,357653.552825928,4171.50255385282
10369,Non-urban Developed,10.02602104,436733.498374939,4435.88230006237
10370,Non-urban Developed,1.20187601,52353.7219848633,1090.51037423617
10371,Non-urban Developed,6.17753405,269093.396850586,2352.5696507427
10372,Non-urban Developed,1.73536871,75592.6650123596,1135.75998547089
10373,Non-urban Developed,2.33915502,101893.597888947,1248.57544061506
10374,Non-urban Developed,2.24137389,97634.2518997192,1247.94392504879
10375,Non-urban Developed,11.71102118,510132.107913971,4481.86577769626
10376,Non-urban Developed,3.09771628,134936.528198242,1789.70662016896
10377,Non-urban Developed,1.72009411,74927.3035049438,1160.85841730641
10378,Non-urban Developed,2.70722332,117926.653999329,1347.84613108023
10379,Non-urban Developed,2.56620948,111784.090713501,1383.02048901021
10380,Non-urban Developed,1.38918345,60512.8343963623,1137.58746016088
10381,Non-urban Developed,1.4941996,65087.3378829956,1189.93612924208
10382,Non-urban Developed,4.34802663,189400.049541473,2451.56775012344
10383,Non-urban Developed,2.33370027,101655.989006042,1922.01234307865
10384,Non-urban Developed,1.27124312,55375.3532752991,911.179983802628
10385,Non-urban Developed,0.78929097,34381.5164070129,984.724168196913
10386,Non-urban Developed,5.32242668,231844.917690277,2756.95753260391
10387,Non-urban Developed,1.02840439,44797.2975692749,888.839941379796
10388,Non-urban Developed,0.93625154,40783.1193351746,829.491519290371
10389,Non-urban Developed,2.18517382,95186.1766204834,1293.15158810446
10390,Non-urban Developed,6.98216896,304143.295021057,2875.87080901658
10391,Non-urban Developed,3.22923492,140665.480361938,1656.28454073701
10392,Non-urban Developed,43.50146793,1894924.037323,13536.3631272788
10393,Non-urban Developed,3.06527597,133523.428230286,1896.28779915903
10394,Non-urban Developed,1.66841701,72676.2489776611,1099.65849699025
10395,Non-urban Developed,0.83704477,36461.6721305847,1028.20612110347
10396,Non-urban Developed,2.66362042,116027.311714172,1637.51363792948
10397,Non-urban Developed,1.19447067,52031.1452865601,951.949106820114
10398,Non-urban Developed,3.21752195,140155.263084412,2018.47456538434
10399,Non-urban Developed,0.54035516,23537.8720779419,605.354178914687
10400,Non-urban Developed,3.65652784,159278.360969543,1936.79147661411
10401,Non-urban Developed,4.33719716,188928.317741394,1969.29825426278
10402,Non-urban Developed,1.73515992,75583.5701942444,1239.03838438924
10403,Non-urban Developed,1.04373086,45464.9188117981,842.683228041079
10404,Non-urban Developed,1.17753782,51293.5502700806,1047.27381180712
10405,Non-urban Developed,1.77929041,77505.8941345215,1103.70248502378
10406,Non-urban Developed,12.65752409,551361.777103424,5723.07033792787
10407,Non-urban Developed,4.11139501,179092.375610352,2007.06762921109
10408,Non-urban Developed,1.11319153,48490.6256103516,848.658955202857
10409,Non-urban Developed,4.47677575,195008.361400604,2263.54780873105
10410,Non-urban Developed,1.60245422,69802.9093437195,1114.08587425401
10411,Non-urban Developed,1.61318315,70270.2619018555,1000.45025168467
10412,Non-urban Developed,1.29851279,56563.2202033997,935.095287383984
10413,Non-urban Developed,1.95419655,85124.8062362671,1203.04788437449
10414,Non-urban Developed,1.48463959,64670.903968811,1037.44000635453
10415,Non-urban Developed,12.96811871,564891.279117584,5010.27580079386
10416,Non-urban Developed,1.27966909,55742.3887176514,947.407419373901
10417,Non-urban Developed,3.61961778,157670.558586121,1747.09899281138
10418,Non-urban Developed,1.74924293,76197.0259780884,1088.38937393994
10419,Non-urban Developed,2.13508117,93004.1406745911,1250.76770886418
10420,Non-urban Developed,2.60720041,113569.655765533,1384.8903138627
10421,Non-urban Developed,13.71547941,597446.312740326,4230.35159266826
10422,Non-urban Developed,7.58707658,330493.072357178,3078.90594711502
10423,Non-urban Developed,0.70516094,30716.8124237061,710.189898440404
10424,Non-urban Developed,1.81572143,79092.8295898438,1115.11734491209
10425,Non-urban Developed,0.95158872,41451.2069358826,1012.52488558276
10426,Non-urban Developed,2.19483128,95606.8556365967,1196.21326181612
10427,Non-urban Developed,1.78010449,77541.3555488586,1124.39519938397
10428,Non-urban Developed,130.66274512,5691669.4601059,21050.2984749716
10429,Non-urban Developed,0.78366855,34136.6041717529,748.997284604341
10430,Non-urban Developed,5.74347574,250185.815849304,2318.56590829659
10431,Non-urban Developed,26.75836441,1165594.41184998,7279.75786406615
10432,Non-urban Developed,2.29249124,99860.9235839844,1247.15130619042
10433,Non-urban Developed,8.99498666,391821.638725281,2968.31712309962
10434,Non-urban Developed,1.03890189,45254.5686225891,836.59659528379
10435,Non-urban Developed,1.30810678,56981.1343727112,1086.5862720976
10436,Non-urban Developed,1.33090533,57974.2394561768,1013.58497856352
10437,Non-urban Developed,0.79504288,34632.0699310303,764.061261596937
10438,Non-urban Developed,1.71608167,74752.5212745667,1100.90229667372
10439,Non-urban Developed,35.19541791,1533112.48052979,12477.3479567838
10440,Non-urban Developed,1.00629742,43834.3179397583,821.078083116033
10441,Non-urban Developed,3.01239473,131219.921329498,1677.08963111468
10442,Non-urban Developed,37.43329705,1630594.50043488,13179.7544188963
10443,Non-urban Developed,2.88245174,125559.604057312,1422.37329740455
10444,Non-urban Developed,1.54097806,67125.0078048706,1027.58785994627
10445,Non-urban Developed,3.57653842,155794.021743774,2384.7825113314
10446,Non-urban Developed,2.31450607,100819.889476776,1627.76421922371
10447,Non-urban Developed,3.44453271,150043.852474213,1928.68444683187
10448,Non-urban Developed,2.14189569,93300.981086731,1408.07985423522
10449,Non-urban Developed,2.0209645,88033.2183036804,1238.04749474089
10450,Non-urban Developed,3.43657766,149697.330482483,1833.73926605038
10451,Non-urban Developed,1.34913988,58768.5364532471,979.543755485989
10452,Non-urban Developed,8.18805488,356671.688381195,3675.01588719995
10453,Non-urban Developed,2.96709398,129246.620239258,1745.24460425111
10454,Non-urban Developed,10.7525295,468380.208328247,4290.95908081866
10455,Non-urban Developed,1.5859652,69084.6479034424,1028.10040974293
10456,Non-urban Developed,3.44377487,150010.841144562,1862.72337540516
10457,Non-urban Developed,1.19675821,52130.7902908325,882.735389920629
10458,Non-urban Developed,0.68475947,29828.1243209839,715.39631013923
10459,Non-urban Developed,3.8053403,165760.631961823,1621.40702977393
10460,Non-urban Developed,3.23961404,141117.594604492,2333.08503174648
10461,Non-urban Developed,0.69368566,30216.94896698,696.578757999819
10462,Non-urban Developed,1.51977123,66201.2382583618,1035.53875666386
10463,Non-urban Developed,11.89619194,518198.146900177,4932.39103947566
10464,Non-urban Developed,1.17656775,51251.2938117981,869.20022147097
10465,Non-urban Developed,2.42973966,105839.465270996,1422.36323359905
10466,Non-urban Developed,14.18179924,617759.205696106,5588.05085472318
10467,Non-urban Developed,14.38788494,626736.299407959,4211.93633976774
10468,Non-urban Developed,30.70368956,1337452.7836647,12256.7290264479
10469,Non-urban Developed,24.02478581,1046519.72203064,5747.38461743578
10470,Non-urban Developed,6.6499224,289670.634525299,2206.96946587706
10471,Non-urban Developed,2.09750168,91367.1779251099,1215.30301400944
10472,Non-urban Developed,1.87178406,81534.9177856445,1131.59860548357
10473,Non-urban Developed,0.94213518,41039.410736084,780.94256147535
10474,Non-urban Developed,6.65177942,289751.526313782,4416.78335746728
10475,Non-urban Developed,8.59073629,374212.491584778,2504.97979853819
10476,Non-urban Developed,9.51300675,414386.594730377,3211.17050922638
10477,Non-urban Developed,0.98758742,43019.3102798462,820.990780353184
10478,Non-urban Developed,1.74625194,76066.7383308411,1262.18563954073
10479,Non-urban Developed,58.02700002,2527656.24623108,16245.2792311378
10480,Non-urban Developed,4.51128201,196511.454250336,1859.86393525668
10481,Non-urban Developed,0.71311882,31063.4573287964,719.779020579912
10482,Non-urban Developed,15.14206718,659588.479251862,6158.72281721482
10483,Non-urban Developed,6.36426123,277227.23336792,2138.22390241602
10484,Non-urban Developed,1.61267083,70247.945022583,1224.88133701588
10485,Non-urban Developed,1.87707285,81765.2975692749,1071.01049644255
10486,Non-urban Developed,1.35528472,59036.2056503296,942.814915513451
10487,Non-urban Developed,3.34831452,145852.58795929,1560.74528906051
10488,Non-urban Developed,0.95112974,41431.2137374878,804.902227637703
10489,Non-urban Developed,0.99873571,43504.9297485352,868.928650653884
10490,Non-urban Developed,1.40650687,61267.4425010681,992.586650604455
10491,Non-urban Developed,1.8364556,79996.0102310181,1155.24742810754
10492,Non-urban Developed,1.24345985,54165.1140708923,1042.54553618799
10493,Non-urban Developed,1.33127941,57990.5340042114,934.642874020077
10494,Non-urban Developed,1.63234152,71104.8002853394,1045.37905943193
10495,Non-urban Developed,3.34660952,145778.317913055,1746.55811492919
10496,Non-urban Developed,4.80553302,209329.029052734,1845.80198859381
10497,Non-urban Developed,6.84948705,298363.670879364,2447.86730711987
10498,Non-urban Developed,4.0006864,174269.908527374,1905.45601900409
10499,Non-urban Developed,15.4636398,673596.183158875,5990.85249917419
10500,Non-urban Developed,0.61464136,26773.7790756226,654.608958009397
10501,Non-urban Developed,8.41120042,366391.908859253,5790.40069274326
10502,Non-urban Developed,1.63092367,71043.0387649536,1618.25544026194
10503,Non-urban Developed,1.85958845,81003.6772155762,1188.28928562041
10504,Non-urban Developed,1.11116365,48402.2913742065,915.581507616724
10505,Non-urban Developed,2.02150343,88056.6942214966,1377.90054613076
10506,Non-urban Developed,4.49631071,195859.304450989,2548.3288091136
10507,Non-urban Developed,2.29598157,100012.962554932,1448.79397622905
